Ciment (%),Argile (%),Alumine (%),Silice (%),Chamotte (%),Conductivite thermique (W/m.K),Resistance Mecanique (MPa)
11.85,7.18,38.04,26.99,15.93,0.56,21.9
11.74,6.89,39.49,26.59,15.29,0.56,21.9
12.04,7.35,38.68,26.26,15.67,0.56,21.9
12.13,7.26,39.91,25.01,15.69,0.56,21.9
11.78,7.08,39.65,27.02,15.0,0.56,21.9
11.75,6.9,37.89,27.28,16.18,0.56,21.9
10.36,7.24,39.55,27.21,15.64,0.56,21.9
10.99,7.34,39.29,26.55,15.83,0.56,21.9
12.14,7.09,39.92,26.51,15.0,0.56,21.9
11.38,6.94,39.94,26.83,15.0,0.56,21.9
11.82,6.44,39.51,26.27,15.96,0.56,21.9
11.79,6.75,39.77,26.63,15.06,0.56,21.9
12.49,7.35,38.51,25.91,15.73,0.56,21.9
12.04,6.89,38.28,26.95,15.84,0.56,21.9
11.25,7.3,39.18,27.03,15.24,0.56,21.9
11.53,7.26,38.73,26.24,16.25,0.56,21.9
11.51,7.25,38.17,27.0,16.06,0.56,21.9
12.0,6.82,38.97,27.26,15.0,0.56,21.9
13.65,9.33,42.62,20.0,15.0,0.57,25.14
12.61,7.62,42.55,21.63,15.59,0.57,24.45
12.66,7.7,43.38,20.48,15.78,0.57,24.45
12.91,7.81,42.94,20.43,15.91,0.57,24.45
13.88,7.66,43.09,20.18,15.19,0.57,24.45
13.68,7.56,43.13,20.13,15.49,0.57,24.45
9.17,9.61,42.11,20.96,18.15,0.57,23.7
9.95,9.36,40.03,22.41,18.26,0.57,23.7
9.69,10.0,40.5,21.51,18.1,0.57,23.7
9.96,10.0,40.34,21.17,18.18,0.57,23.7
9.79,9.74,40.38,21.43,18.65,0.57,23.7
9.7,9.37,41.84,20.56,18.54,0.57,23.7
8.02,8.85,42.0,22.5,18.64,0.57,23.7
8.71,9.02,42.11,21.63,18.53,0.57,23.7
8.47,9.34,41.92,22.24,18.02,0.57,23.7
8.67,9.65,42.49,20.5,18.69,0.57,23.7
9.64,9.45,42.37,20.0,18.63,0.57,23.7
8.94,9.46,41.27,21.85,18.49,0.57,23.7
9.2,9.44,40.79,21.88,18.68,0.57,23.7
9.56,9.44,41.8,20.9,18.31,0.57,23.7
9.31,9.71,41.57,21.72,17.69,0.57,23.7
8.57,9.96,41.47,21.66,18.33,0.57,23.7
8.86,9.9,41.35,21.54,18.35,0.57,23.7
9.48,8.78,41.94,21.82,17.98,0.57,23.7
8.9,9.82,41.53,22.24,17.52,0.57,23.7
8.14,8.86,42.08,22.25,18.66,0.57,23.7
9.12,9.42,41.76,21.08,18.62,0.57,23.7
9.5,9.75,40.74,22.03,17.98,0.57,23.7
9.99,9.98,40.19,21.83,18.0,0.57,23.7
9.33,9.61,41.63,20.73,18.7,0.57,23.7
8.8,9.47,42.28,21.84,17.61,0.57,23.7
9.77,8.98,41.07,22.16,18.01,0.57,23.7
9.84,9.6,40.97,21.42,18.17,0.57,23.7
9.47,10.0,40.68,21.38,18.37,0.57,23.7
9.68,8.79,41.47,22.24,17.82,0.57,23.7
9.51,9.3,40.29,22.38,18.52,0.57,23.7
9.81,8.88,41.08,21.87,18.36,0.57,23.7
10.26,9.94,42.02,21.67,16.1,0.58,24.1
12.16,9.71,41.02,21.45,15.65,0.58,24.1
12.29,9.79,41.97,20.81,15.14,0.58,24.1
10.4,9.45,42.37,21.57,16.21,0.58,24.1
12.11,8.9,40.64,22.31,16.04,0.58,24.1
11.38,9.16,41.5,21.84,16.13,0.58,24.1
12.15,9.32,41.43,22.09,15.02,0.58,24.1
12.27,8.88,42.25,21.88,15.0,0.58,24.1
11.7,9.16,41.3,22.02,15.82,0.58,24.1
10.08,9.43,42.26,22.16,16.08,0.58,24.1
12.04,9.52,41.94,20.64,15.86,0.58,24.1
12.2,9.14,41.22,22.03,15.4,0.58,24.1
11.3,10.0,40.94,21.74,15.81,0.58,24.1
10.08,9.86,41.65,22.46,15.94,0.58,24.1
11.46,9.9,42.48,20.0,16.16,0.58,24.1
10.73,9.21,41.97,22.17,15.93,0.58,24.1
11.44,9.47,40.79,22.43,15.87,0.58,24.1
11.1,9.97,42.23,20.8,15.89,0.58,24.1
12.44,9.29,41.17,21.47,15.63,0.58,24.1
12.19,10.0,39.88,21.43,16.11,0.58,24.04
11.21,9.22,40.1,21.58,17.89,0.58,23.63
10.21,9.29,40.6,21.77,18.12,0.58,23.63
10.49,9.16,40.82,21.18,18.35,0.58,23.63
10.25,9.08,40.96,21.32,18.4,0.58,23.63
11.9,9.5,40.45,20.45,17.7,0.58,23.63
10.6,9.19,40.05,21.97,18.19,0.58,23.63
10.01,8.96,41.52,21.2,18.31,0.58,23.63
10.6,9.02,40.67,22.16,17.54,0.58,23.63
10.49,8.86,41.24,21.63,17.79,0.58,23.63
10.27,9.66,40.28,21.72,18.07,0.58,23.63
11.38,8.93,40.23,21.79,17.67,0.58,23.63
11.59,9.42,40.19,20.44,18.36,0.58,23.63
10.17,9.36,40.3,21.54,18.63,0.58,23.63
12.39,9.05,40.21,20.0,18.49,0.58,23.63
10.18,9.39,41.42,21.45,17.55,0.58,23.63
11.19,9.06,40.7,20.69,18.35,0.58,23.63
10.1,9.1,41.98,20.46,18.36,0.58,23.63
10.81,9.16,41.33,20.21,18.49,0.58,23.63
11.4,9.3,40.04,20.81,18.45,0.58,23.63
11.91,9.14,40.82,20.0,18.51,0.58,23.63
11.17,9.15,40.13,21.66,17.89,0.58,23.63
11.17,9.19,40.82,20.45,18.36,0.58,23.63
10.19,10.0,41.65,20.59,17.53,0.58,23.63
12.3,9.61,39.55,21.02,17.53,0.58,23.57
12.06,9.47,39.76,20.87,17.83,0.58,23.57
11.0,9.7,38.95,22.46,17.88,0.58,23.57
11.27,9.11,39.41,21.71,18.5,0.58,23.57
12.23,8.9,39.35,21.88,17.64,0.58,23.57
11.0,9.03,39.96,22.31,17.7,0.58,23.57
12.0,9.12,39.08,22.09,17.72,0.58,23.57
10.79,8.94,39.85,22.28,18.15,0.58,23.57
10.55,9.74,38.9,22.18,18.63,0.58,23.57
11.67,9.03,38.22,22.36,18.72,0.58,23.57
11.29,9.47,38.17,22.34,18.73,0.58,23.57
11.62,9.17,39.94,20.71,18.55,0.58,23.57
11.88,9.63,39.57,20.52,18.4,0.58,23.57
11.41,9.87,39.05,21.01,18.65,0.58,23.57
11.64,9.2,39.3,22.27,17.59,0.58,23.57
12.16,9.24,39.49,21.23,17.88,0.58,23.57
11.62,9.5,38.73,22.25,17.89,0.58,23.57
10.99,10.0,39.49,21.77,17.59,0.58,23.57
12.06,9.46,38.41,21.82,18.24,0.58,23.57
12.18,9.08,39.92,20.38,18.44,0.58,23.57
11.24,9.35,39.08,22.26,18.07,0.58,23.57
11.42,9.1,39.76,21.69,18.03,0.58,23.57
12.25,9.22,38.25,21.82,18.46,0.58,23.57
12.06,9.27,37.86,22.45,18.37,0.58,23.57
11.78,9.23,38.74,22.48,17.77,0.58,23.57
11.53,10.0,37.92,21.6,18.66,0.58,23.57
12.19,9.62,37.95,22.38,17.85,0.58,23.57
10.63,9.29,38.9,22.49,18.68,0.58,23.57
5.02,8.35,40.74,29.57,16.32,0.6,21.2
5.53,8.73,40.05,28.55,17.14,0.6,21.2
6.31,8.62,40.28,27.98,16.81,0.6,21.2
7.19,8.03,40.31,28.2,16.27,0.6,21.2
6.77,7.81,40.18,28.54,16.7,0.6,21.2
5.42,7.61,42.35,28.12,16.5,0.6,21.2
6.44,7.73,40.26,28.85,16.71,0.6,21.2
5.49,7.56,42.19,27.93,16.83,0.6,21.2
5.0,7.81,41.85,28.53,16.86,0.6,21.2
6.69,8.29,40.58,28.06,16.38,0.6,21.2
6.9,7.55,40.91,27.52,17.12,0.6,21.2
6.17,7.54,41.8,27.9,16.6,0.6,21.2
5.05,7.77,41.42,28.76,17.0,0.6,21.2
5.65,8.21,40.56,29.14,16.44,0.6,21.2
5.46,8.41,41.06,28.07,16.99,0.6,21.2
5.72,7.75,41.07,28.65,16.81,0.6,21.2
5.6,7.65,40.48,29.74,16.52,0.6,21.2
6.06,7.62,41.24,28.13,16.96,0.6,21.2
6.22,8.12,40.72,27.79,17.14,0.6,21.2
6.05,7.68,41.3,27.86,17.1,0.6,21.2
7.37,8.06,40.12,28.2,16.26,0.6,21.2
7.1,7.66,40.32,28.38,16.55,0.6,21.2
5.98,7.97,40.74,29.03,16.27,0.6,21.2
5.89,7.66,40.89,28.35,17.21,0.6,21.2
6.1,8.25,40.55,28.64,16.46,0.6,21.2
7.11,7.74,37.61,30.0,17.4,0.6,21.15
6.66,8.64,39.25,28.03,17.42,0.6,21.15
5.74,8.08,39.1,29.6,17.5,0.6,21.15
6.98,8.4,39.02,28.95,16.65,0.6,21.15
7.01,8.62,39.09,27.95,17.32,0.6,21.15
7.31,7.64,39.5,28.31,17.26,0.6,21.15
7.36,7.71,39.31,29.32,16.3,0.6,21.15
5.79,8.66,39.17,29.75,16.62,0.6,21.15
7.32,8.4,38.7,28.6,16.98,0.6,21.15
6.78,8.53,39.16,29.18,16.35,0.6,21.15
6.68,8.75,38.92,29.25,16.39,0.6,21.15
6.38,7.68,38.94,29.62,17.37,0.6,21.15
7.44,7.88,38.77,29.51,16.41,0.6,21.15
5.87,8.17,39.43,29.19,17.34,0.6,21.15
7.01,7.84,39.8,28.43,16.94,0.6,21.15
6.11,7.75,39.7,29.39,17.04,0.6,21.15
6.18,8.3,39.9,28.74,16.88,0.6,21.15
7.32,7.97,39.86,28.49,16.36,0.6,21.15
6.8,8.35,39.92,27.57,17.36,0.6,21.15
7.5,7.64,38.36,30.0,16.5,0.6,21.15
5.44,8.41,38.56,30.0,17.17,0.6,21.15
6.38,7.63,39.5,30.0,16.39,0.6,21.15
7.31,7.61,38.94,28.72,17.42,0.6,21.15
6.3,8.75,39.63,27.84,17.49,0.6,21.15
6.57,7.65,39.47,29.56,16.75,0.6,21.15
7.36,7.92,39.74,27.68,17.29,0.6,21.15
9.95,6.03,45.0,22.39,16.13,0.61,23.82
8.54,6.24,45.0,21.81,16.22,0.61,23.82
12.23,5.29,45.0,20.99,16.07,0.61,23.79
12.15,6.06,44.2,22.39,15.2,0.61,23.79
11.71,5.69,44.13,22.3,16.16,0.61,23.79
10.69,5.36,45.0,21.31,16.03,0.61,23.79
10.48,5.75,45.0,21.71,16.15,0.61,23.79
12.38,5.56,44.35,22.1,15.62,0.61,23.79
11.62,5.44,45.0,21.0,16.17,0.61,23.79
12.19,5.98,44.92,21.7,15.21,0.61,23.79
12.26,6.16,44.1,21.87,15.6,0.61,23.79
10.55,6.16,45.0,22.14,15.94,0.61,23.79
11.6,5.76,44.1,22.31,16.23,0.61,23.79
9.02,6.21,45.0,22.26,16.82,0.61,23.54
9.59,5.95,44.73,22.45,17.28,0.61,23.54
9.95,6.08,45.0,21.68,16.46,0.61,23.54
7.96,5.92,45.0,22.46,16.89,0.61,23.54
9.63,5.28,45.0,21.36,17.01,0.61,23.54
8.8,6.19,45.0,22.44,17.3,0.61,23.54
8.2,6.12,45.0,21.73,17.14,0.61,23.54
10.08,5.3,45.0,21.28,17.3,0.61,23.51
11.94,6.14,43.96,21.6,16.35,0.61,23.51
11.29,5.71,44.69,20.95,17.37,0.61,23.51
10.56,5.89,43.86,22.38,17.32,0.61,23.51
12.3,5.87,44.2,21.27,16.36,0.61,23.51
11.63,5.83,45.0,20.57,16.93,0.61,23.51
12.23,5.78,42.88,22.36,16.76,0.61,23.51
11.22,5.99,44.53,21.99,16.27,0.61,23.51
10.68,5.68,44.95,21.71,16.98,0.61,23.51
11.02,6.06,45.0,20.82,16.41,0.61,23.51
11.06,5.8,44.33,22.13,16.69,0.61,23.51
11.46,6.02,43.0,22.06,17.46,0.61,23.51
10.93,5.97,44.75,21.47,16.88,0.61,23.51
12.36,5.4,43.35,21.46,17.43,0.61,23.51
11.54,5.26,45.0,20.86,16.69,0.61,23.51
10.57,5.49,44.3,22.42,17.22,0.61,23.51
8.19,6.43,43.26,27.52,15.0,0.61,22.77
5.46,5.15,43.73,28.88,16.78,0.61,22.61
7.37,5.33,43.18,27.61,16.51,0.61,22.61
6.07,5.9,43.53,27.98,16.51,0.61,22.61
6.08,5.44,44.14,27.68,16.65,0.61,22.61
7.21,5.51,42.62,27.65,17.01,0.61,22.61
5.83,5.62,43.47,27.71,17.37,0.61,22.61
6.49,5.17,43.82,27.69,16.84,0.61,22.61
5.26,5.78,43.97,27.99,17.0,0.61,22.61
6.25,6.06,43.36,27.79,16.54,0.61,22.61
5.76,5.52,43.54,28.34,16.83,0.61,22.61
6.11,5.22,44.26,27.8,16.6,0.61,22.61
5.43,5.21,42.53,30.0,16.8,0.61,22.61
6.45,5.38,43.93,27.88,16.36,0.61,22.61
6.05,5.71,42.94,28.33,16.97,0.61,22.61
5.19,6.13,43.52,28.35,16.8,0.61,22.61
5.9,5.9,43.95,27.69,16.56,0.61,22.61
6.14,5.3,42.52,29.56,16.49,0.61,22.61
5.35,5.15,42.69,29.64,17.17,0.61,22.61
5.6,5.55,43.82,27.56,17.48,0.61,22.61
7.17,5.42,42.56,27.84,17.0,0.61,22.61
5.86,6.24,42.57,28.43,16.9,0.61,22.61
5.35,6.11,42.6,28.56,17.38,0.61,22.61
5.8,5.91,43.05,27.77,17.47,0.61,22.61
5.2,5.99,43.65,28.1,17.06,0.61,22.61
5.31,5.86,43.94,28.26,16.62,0.61,22.61
6.6,6.15,42.6,28.2,16.45,0.61,22.61
6.01,5.9,42.44,27.19,18.46,0.61,21.5
7.25,5.65,41.71,26.88,18.51,0.61,21.5
5.87,6.24,42.06,27.39,18.43,0.61,21.5
7.41,5.45,42.06,26.71,18.36,0.61,21.5
7.16,5.43,42.2,26.58,18.63,0.61,21.5
7.32,5.88,42.38,26.23,18.18,0.61,21.5
7.3,5.94,41.48,26.92,18.34,0.61,21.5
5.78,6.11,42.22,27.15,18.74,0.61,21.5
6.8,5.43,41.85,27.26,18.65,0.61,21.5
7.47,6.07,41.25,27.15,18.06,0.61,21.5
7.47,5.97,41.73,26.14,18.68,0.61,21.5
8.32,6.93,40.21,25.59,18.95,0.61,21.49
8.42,6.27,40.06,26.2,19.05,0.61,21.49
8.19,6.42,40.16,25.32,19.91,0.61,21.49
8.13,6.51,40.99,25.12,19.24,0.61,21.49
7.66,6.76,40.71,25.88,18.99,0.61,21.49
7.73,6.76,40.24,26.31,18.95,0.61,21.49
7.93,6.27,40.09,25.98,19.74,0.61,21.49
7.76,7.46,38.61,25.38,20.0,0.61,21.45
9.47,6.33,38.36,25.39,20.0,0.61,21.45
9.37,6.69,39.59,25.17,19.17,0.61,21.45
7.98,6.7,39.52,25.45,20.0,0.61,21.45
8.11,6.74,39.96,25.95,19.24,0.61,21.45
8.41,6.51,39.7,25.5,19.88,0.61,21.45
9.41,7.08,39.0,25.47,19.04,0.61,21.45
8.01,6.76,39.87,26.18,19.19,0.61,21.45
7.66,6.49,39.92,26.51,19.42,0.61,21.45
7.66,6.27,39.49,26.53,20.0,0.61,21.45
8.55,6.46,39.67,25.68,19.64,0.61,21.45
9.99,6.95,38.03,26.08,18.94,0.61,21.45
9.23,6.8,38.69,26.28,19.0,0.61,21.45
9.9,6.85,37.65,25.03,20.0,0.61,21.45
9.33,6.4,38.04,27.41,18.82,0.61,21.45
8.78,6.96,37.99,25.8,20.0,0.61,21.45
8.07,7.3,38.71,26.19,19.73,0.61,21.45
9.8,6.75,39.32,25.22,18.91,0.61,21.45
8.39,6.86,37.94,27.43,19.37,0.61,21.45
8.45,6.92,39.24,25.35,20.0,0.61,21.45
8.92,6.68,37.82,26.97,19.61,0.61,21.45
8.33,6.93,38.49,26.68,19.56,0.61,21.45
8.34,7.03,39.37,25.09,20.0,0.61,21.45
7.73,6.32,38.88,27.12,19.96,0.61,21.45
9.7,6.71,38.67,26.06,18.86,0.61,21.45
9.4,6.44,38.54,26.07,19.55,0.61,21.45
7.85,7.27,39.7,26.38,18.8,0.61,21.45
8.72,7.34,38.97,25.25,19.72,0.61,21.45
8.02,6.69,38.61,26.16,20.0,0.61,21.45
8.04,6.46,39.01,26.06,20.0,0.61,21.45
7.58,7.11,39.59,26.43,19.28,0.61,21.45
7.88,7.4,39.74,25.23,19.75,0.61,21.45
8.57,7.07,38.39,27.1,18.88,0.61,21.45
7.93,6.6,39.53,26.05,19.89,0.61,21.45
9.05,6.45,39.09,26.44,18.97,0.61,21.45
8.83,7.94,41.87,21.41,19.95,0.62,22.32
8.34,7.72,42.23,21.59,20.0,0.62,22.32
7.72,8.07,42.13,22.28,19.81,0.62,22.32
8.07,8.44,40.09,22.45,20.0,0.62,22.32
9.25,7.98,41.26,21.8,19.72,0.62,22.32
9.79,8.21,41.07,22.15,18.77,0.62,22.32
7.74,8.16,42.19,22.07,19.84,0.62,22.32
9.37,8.3,41.53,21.64,19.15,0.62,22.32
8.65,7.88,40.22,22.37,20.0,0.62,22.32
7.82,8.38,41.56,21.68,20.0,0.62,22.32
7.65,8.5,41.95,21.73,20.0,0.62,22.32
8.23,8.37,42.42,22.02,18.96,0.62,22.32
8.25,8.26,42.31,20.81,20.0,0.62,22.32
9.52,8.28,41.37,21.9,18.94,0.62,22.32
8.45,8.29,40.6,22.01,20.0,0.62,22.32
8.72,8.61,40.78,22.16,19.73,0.62,22.32
8.55,8.39,41.56,22.45,19.05,0.62,22.32
8.3,8.58,42.31,21.22,19.61,0.62,22.32
8.19,8.45,40.86,21.67,20.0,0.62,22.32
8.68,8.61,41.27,21.22,20.0,0.62,22.32
8.02,8.27,41.77,21.78,20.0,0.62,22.32
9.01,8.41,40.97,22.02,19.59,0.62,22.32
9.53,7.52,41.16,21.94,19.84,0.62,22.32
7.57,8.37,42.37,22.2,19.49,0.62,22.32
8.4,8.2,42.2,21.43,19.77,0.62,22.32
9.64,8.14,42.02,21.25,18.96,0.62,22.32
9.64,8.17,40.5,22.38,19.3,0.62,22.32
8.8,7.51,41.88,22.0,19.82,0.62,22.32
9.16,7.56,41.98,22.48,18.83,0.62,22.32
8.13,8.74,41.7,22.16,19.27,0.62,22.32
8.43,8.73,40.43,22.15,20.0,0.62,22.32
9.18,8.65,42.07,20.78,19.32,0.62,22.32
9.96,8.26,38.91,21.86,20.0,0.62,22.26
9.57,7.65,39.33,21.92,20.0,0.62,22.26
8.98,8.65,39.6,22.08,20.0,0.62,22.26
7.43,6.69,42.2,22.31,20.0,0.62,21.89
12.56,7.82,40.2,22.6,16.83,0.62,21.79
12.76,7.66,40.15,22.71,16.72,0.62,21.79
14.43,7.77,37.54,23.14,17.11,0.62,21.75
12.59,7.9,38.49,23.73,17.29,0.62,21.75
13.38,8.17,38.07,23.04,17.33,0.62,21.75
13.63,8.0,39.54,22.56,16.27,0.62,21.75
12.61,7.65,38.36,24.73,16.64,0.62,21.75
13.41,8.34,38.16,22.97,17.12,0.62,21.75
13.92,8.02,37.83,23.37,16.86,0.62,21.75
13.71,8.08,37.79,24.16,16.27,0.62,21.75
12.76,7.87,37.84,24.98,16.55,0.62,21.75
12.76,8.28,39.11,22.97,16.88,0.62,21.75
13.38,8.27,38.17,23.87,16.31,0.62,21.75
12.6,8.66,38.13,23.55,17.05,0.62,21.75
12.62,7.82,38.49,23.95,17.11,0.62,21.75
12.99,8.66,37.87,23.23,17.24,0.62,21.75
13.79,7.9,37.93,23.53,16.85,0.62,21.75
13.72,7.52,38.76,22.73,17.27,0.62,21.75
13.46,7.57,37.89,23.76,17.33,0.62,21.75
12.69,8.5,38.96,22.93,16.92,0.62,21.75
12.73,7.72,39.42,22.9,17.23,0.62,21.75
12.65,7.87,38.34,24.03,17.1,0.62,21.75
12.88,8.39,37.65,23.84,17.24,0.62,21.75
13.79,8.58,38.04,22.58,17.0,0.62,21.75
12.68,7.97,39.06,23.91,16.39,0.62,21.75
12.81,8.08,38.74,23.35,17.02,0.62,21.75
13.14,7.74,38.03,24.52,16.56,0.62,21.75
13.01,8.02,38.53,23.71,16.72,0.62,21.75
13.2,7.73,39.39,23.25,16.43,0.62,21.75
13.31,7.9,38.53,23.6,16.66,0.62,21.75
13.2,7.63,38.91,23.44,16.81,0.62,21.75
13.07,8.66,38.82,23.19,16.26,0.62,21.75
12.77,8.54,38.91,23.21,16.56,0.62,21.75
14.36,8.42,37.99,22.72,16.52,0.62,21.75
12.89,8.28,37.78,24.7,16.36,0.62,21.75
13.33,7.53,38.1,24.24,16.8,0.62,21.75
12.71,7.53,39.04,23.7,17.02,0.62,21.75
14.11,8.69,38.05,22.86,16.3,0.62,21.75
13.59,7.85,37.91,24.26,16.39,0.62,21.75
13.07,7.98,39.13,23.19,16.64,0.62,21.75
13.66,7.98,38.46,22.94,16.95,0.62,21.75
13.96,8.18,38.07,22.54,17.25,0.62,21.75
12.57,7.72,37.71,24.98,17.02,0.62,21.75
12.88,8.19,38.43,23.52,16.98,0.62,21.75
13.33,7.72,38.94,22.6,17.41,0.62,21.75
13.09,8.41,38.6,22.97,16.93,0.62,21.75
13.17,7.78,39.22,22.71,17.12,0.62,21.75
12.58,8.4,38.73,23.25,17.03,0.62,21.75
12.61,8.05,39.5,22.87,16.96,0.62,21.75
13.15,7.86,38.12,23.63,17.24,0.62,21.75
12.85,7.62,38.9,23.4,17.23,0.62,21.75
12.71,8.18,37.84,24.98,16.28,0.62,21.75
12.69,7.87,38.53,24.5,16.41,0.62,21.75
9.36,6.91,40.49,23.22,20.0,0.62,21.57
8.67,7.3,40.32,23.43,20.0,0.62,21.57
7.68,7.33,40.41,24.03,20.0,0.62,21.57
9.05,6.51,42.02,23.3,19.11,0.62,21.57
9.12,7.29,40.42,24.23,18.94,0.62,21.57
7.89,6.53,41.85,23.37,20.0,0.62,21.57
7.56,6.29,40.96,24.95,20.0,0.62,21.57
9.43,7.04,40.69,23.66,19.19,0.62,21.57
8.56,6.69,40.52,24.2,20.0,0.62,21.57
8.68,7.0,40.29,24.27,19.76,0.62,21.57
9.47,6.3,41.41,23.88,18.95,0.62,21.57
8.63,7.2,40.69,23.35,20.0,0.62,21.57
8.35,6.58,41.47,24.69,18.91,0.62,21.57
9.24,6.49,41.28,22.88,20.0,0.62,21.57
7.63,6.36,41.98,24.79,19.25,0.62,21.57
7.71,7.42,40.78,24.46,19.63,0.62,21.57
8.15,6.28,40.7,24.75,20.0,0.62,21.57
9.16,7.1,40.53,22.78,20.0,0.62,21.57
8.18,6.99,41.01,24.16,19.66,0.62,21.57
9.41,6.89,40.22,23.67,19.81,0.62,21.57
8.32,6.89,41.98,22.51,20.0,0.62,21.57
7.67,6.37,40.27,24.91,20.0,0.62,21.57
9.38,6.63,40.21,23.92,19.87,0.62,21.57
7.75,7.21,41.52,22.93,20.0,0.62,21.57
8.13,7.5,40.6,24.45,19.31,0.62,21.57
9.76,6.33,41.04,23.27,19.6,0.62,21.57
8.06,6.51,40.59,24.81,20.0,0.62,21.57
8.1,6.36,41.09,24.51,19.93,0.62,21.57
7.66,7.49,42.13,23.53,19.2,0.62,21.57
8.31,7.24,42.08,23.53,18.84,0.62,21.57
8.83,6.64,42.2,22.99,19.33,0.62,21.57
7.71,6.81,41.24,24.78,19.46,0.62,21.57
8.77,7.13,40.22,24.49,19.39,0.62,21.57
8.02,6.8,41.17,23.73,20.0,0.62,21.57
9.32,6.43,40.83,24.57,18.86,0.62,21.57
8.34,6.41,41.39,24.35,19.51,0.62,21.57
7.68,6.5,41.06,24.86,19.9,0.62,21.57
8.43,6.59,41.84,23.77,19.38,0.62,21.57
8.4,6.51,41.18,24.29,19.62,0.62,21.57
7.84,7.49,41.61,23.95,19.11,0.62,21.57
9.01,6.93,40.63,23.69,19.74,0.62,21.57
7.91,6.43,41.96,23.68,20.0,0.62,21.57
8.13,7.36,41.37,23.85,19.29,0.62,21.57
9.98,6.36,40.04,24.19,19.43,0.62,21.57
7.56,6.77,42.21,24.58,18.87,0.62,21.57
8.6,6.35,40.67,24.21,20.0,0.62,21.57
9.65,6.28,40.94,23.42,19.71,0.62,21.57
9.95,6.84,40.27,24.15,18.8,0.62,21.57
7.56,6.39,41.97,24.32,19.75,0.62,21.57
9.39,7.41,41.12,23.13,18.95,0.62,21.57
9.37,7.21,41.07,23.22,19.13,0.62,21.57
8.4,7.16,40.52,24.08,19.84,0.62,21.57
7.78,6.5,42.5,24.33,18.89,0.62,21.57
7.66,6.76,40.66,25.0,19.91,0.62,21.57
9.55,6.75,41.23,23.1,19.37,0.62,21.57
8.04,7.08,41.11,23.62,20.0,0.62,21.57
7.88,6.38,40.67,23.75,20.0,0.62,21.57
9.1,7.16,41.05,23.64,19.05,0.62,21.57
7.53,7.49,41.3,23.2,20.0,0.62,21.57
7.61,7.31,41.28,24.43,19.37,0.62,21.57
8.27,7.32,42.0,22.56,19.86,0.62,21.57
8.65,6.38,41.37,24.11,19.48,0.62,21.57
8.0,7.39,40.9,23.87,19.84,0.62,21.57
9.35,6.37,38.18,24.97,20.0,0.62,21.53
9.97,7.07,39.53,24.11,19.32,0.62,21.53
9.19,6.75,38.56,24.46,20.0,0.62,21.53
9.05,7.24,39.88,22.94,20.0,0.62,21.53
8.7,7.41,39.33,24.0,20.0,0.62,21.53
9.69,6.47,39.77,23.14,20.0,0.62,21.53
9.79,6.96,39.55,24.64,19.06,0.62,21.53
9.62,7.04,39.63,22.67,20.0,0.62,21.53
9.18,7.5,39.96,24.57,18.78,0.62,21.53
9.16,6.83,39.37,23.33,20.0,0.62,21.53
9.18,7.45,38.78,23.92,20.0,0.62,21.53
9.55,7.08,39.95,24.12,19.3,0.62,21.53
9.96,6.48,39.33,24.01,20.0,0.62,21.53
9.79,6.33,39.37,23.38,20.0,0.62,21.53
9.74,6.46,39.89,24.47,19.44,0.62,21.53
9.47,7.25,39.66,22.62,20.0,0.62,21.53
9.61,7.14,39.73,24.39,19.13,0.62,21.53
9.97,7.43,39.09,24.64,18.87,0.62,21.53
9.61,7.08,39.39,22.9,20.0,0.62,21.53
9.9,6.86,39.66,23.8,19.77,0.62,21.53
8.82,7.0,39.65,23.34,20.0,0.62,21.53
9.99,7.49,39.06,22.98,20.0,0.62,21.53
7.58,7.27,39.96,24.89,20.0,0.62,21.53
8.44,7.22,38.99,23.85,20.0,0.62,21.53
9.92,7.01,39.2,23.71,20.0,0.62,21.53
8.25,6.99,39.75,24.69,20.0,0.62,21.53
9.34,7.4,39.41,24.29,19.56,0.62,21.53
9.84,7.13,39.61,24.42,19.0,0.62,21.53
9.82,7.43,39.47,22.8,20.0,0.62,21.53
8.72,6.4,39.81,24.61,20.0,0.62,21.53
9.22,7.08,39.67,24.8,19.23,0.62,21.53
8.02,6.36,39.95,24.59,20.0,0.62,21.53
10.39,6.39,38.96,25.43,18.84,0.62,21.46
11.06,6.45,37.88,25.16,19.45,0.62,21.46
11.12,6.69,37.71,25.38,19.09,0.62,21.46
10.35,7.08,37.79,25.08,19.7,0.62,21.46
10.8,6.31,38.09,25.81,18.99,0.62,21.46
10.31,7.32,38.31,25.28,18.78,0.62,21.46
10.42,6.62,37.8,25.43,19.74,0.62,21.46
10.21,7.11,37.74,25.34,19.6,0.62,21.46
5.27,8.21,40.35,28.44,17.73,0.62,21.13
5.98,7.53,40.62,28.17,17.7,0.62,21.13
5.17,7.74,40.56,27.94,18.58,0.62,21.13
5.0,7.64,41.13,28.45,17.81,0.62,21.13
5.77,8.59,40.37,27.63,17.65,0.62,21.13
5.0,7.61,41.47,27.58,18.35,0.62,21.13
5.03,8.69,41.07,27.63,17.57,0.62,21.13
5.14,7.84,40.41,29.01,17.6,0.62,21.13
5.05,7.61,41.14,28.27,17.94,0.62,21.13
5.58,7.98,40.26,27.57,18.6,0.62,21.13
5.75,8.1,40.46,28.13,17.56,0.62,21.13
5.3,8.06,40.12,28.34,18.18,0.62,21.13
